DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,UNRATE,CPI,INTDSRUSM193N,Subsidy,renting units,housing units,Vacant units,Median sales,MPI
2002-01-01,117.144,2002,1,50091.0,5.7,177.7,1.25,24.429,119061,33707,14342,188700,2.7615896715014903
2003-01-01,128.461,2003,1,50462.0,5.8,182.600,2.25,26.503,120792,33917,14908,186000,2.18139042769816
2004-01-01,141.64600000000002,2004,1,52179.0,5.7,186.300,2.0,28.585,122632,33479,15895,212700,2.2200747059839503
2005-01-01,161.28799999999998,2005,1,53719.0,5.3,191.600,3.25,31.688,124611,33612,15748,232500,3.4217591363454103
2006-01-01,182.321,2006,1,54927.0,4.7,199.300,5.5,30.683,126584,34757,16234,247700,2.88432186623886
2007-01-01,184.517,2007,1,55260.0,4.6,203.437,6.25,37.448,128439,35031,17724,257400,2.9644102631689195
2008-01-01,173.132,2008,1,55497.0,5.0,212.174,3.5,33.461,129968,35859,18642,233900,3.28360527628442
2009-01-01,151.507,2009,1,53221.0,7.8,211.933,0.5,34.86,131001,36610,19137,208400,2.40364062502632
2010-01-01,147.39600000000002,2010,1,53683.0,9.8,217.488,0.5,34.177,131626,37020,19126,222900,0.680110845940707
2011-01-01,141.52100000000002,2011,1,54341.0,9.1,221.187,0.75,35.134,132117,38021,18998,226900,2.27322625990496
2012-01-01,136.607,2012,1,55342.0,8.3,227.842,0.75,34.187,132619,39530,18476,238400,3.19808928450254
2013-01-01,146.827,2013,1,55859.0,8.0,231.679,0.75,34.4,133234,40178,18459,258400,2.74180750368704
2014-01-01,161.92700000000002,2014,1,56345.0,6.6,235.288,0.75,34.456,134005,40636,18453,275200,2.4063265035218797
2015-01-01,168.634,2015,1,58121.0,5.7,234.747,0.75,35.425,134862,42631,17502,289200,1.94752959883826
2016-01-01,177.274,2016,1,58704.0,4.8,237.652,1.0,38.44,135795,43047,17758,299800,2.70841659132004
2017-01-01,186.805,2017,1,59494.0,4.7,243.618,1.25,38.212,136818,43475,17384,313100,3.43630577482943
2018-01-01,198.315,2018,1,61093.0,4.0,248.859,2.0,39.685,137920,43249,17258,331800.0,4.17000041826154
2019-01-01,206.539,2019,1,61889.0,4.0,252.718,3.0,40.762,139069,43723,16814,313000.0,3.23099390584713
2020-01-01,214.99400000000003,2020,1,62333.0,3.5,259.037,2.25,44.736,140266,43094,15967,329000.0,3.20697563356733
2021-01-01,239.56,2021,1,63227.0,6.3,262.650,0.25,46.724,141589.0,43382.0,15602,369800.0,1.52430226027722
